_RAJ2000, _DEJ2000, ObjType, ObjName, RAICRS, DEICRS, plx, e_plx, r_plx, pmRA, e_pmRA, pmDE, e_pmDE, r_pmDE, RV, e_RV, r_RV, SpType, GCode, Gmag, Gest, GBPmag, GRPmag, Umag, Bmag, Vmag, Rmag, Imag, Jmag, Hmag, Ksmag, GaiaDR2, GaiaEDR3, SIMBAD, Common, GJ, HD, HIP
217.42894222160, -62.67949018931, LM    , Proxima Cen                 , 217.392321472, -62.676075117, 768.0665,   0.0499, 2020yCat.1350....0G            ,  -3781.741008265,      0.031386077,    769.465014648,      0.050524533, 2020yCat.1350....0G           ,  -22.3450,    0.0060, 2014MNRAS.439.3094B, M5.5    ,  3,  8.98475,       , 11.37312,  7.56854, 14.210, 12.950, 11.130,  9.450,  7.410,  5.357,  4.835,  4.384, 5853498713160606720, 5853498713190525696, alf Cen C                 , Proxima Cen      , GJ 551    ,             , HIP 70890
217.39232147200, -62.67607511700, Planet, Proxima Cen b               , 217.392321472, -62.676075117, 768.0665,   0.0499, FROM:ProximaCenC               ,                 ,                 ,                 ,                 ,                               ,          ,          ,                    ,         ,   ,         ,       ,         ,         ,       ,       ,       ,       ,       ,       ,       ,       ,                    ,                    ,                           ,                  ,           ,             , 
219.90205833200, -60.83399268800, *     , alf Cen A                   , 219.902058332, -60.833992688, 743.0000,   1.3000, 2016A&A...586A..90P            ,  -3679.250000000,      3.890000000,    473.670000000,      3.240000000, 2007A&A...474..653V           ,  -22.3900,    0.0040, 2016A&A...586A..90P, G2      , 10,         ,  -0.09,         ,         ,  0.960,  0.720,  0.010,       ,       , -1.150, -1.380, -1.490,                    ,                    , alf Cen A                 , Rigil Kentaurus  , GJ 559 A  , HD 128620   , HIP 71683
219.89609629000, -60.83752756600, *     , alf Cen B                   , 219.896096290, -60.837527566, 743.0000,   1.3000, 2016A&A...586A..90P            ,  -3614.390000000,     20.480000000,    802.980000000,     19.520000000, 2007A&A...474..653V           ,  -22.3900,    0.0040, 2016A&A...586A..90P, K1      , 10,         ,   1.34,         ,         ,  2.890,  2.210,  1.330,       ,       , -0.010, -0.490, -0.600,                    ,                    , alf Cen B                 , Toliman          , GJ 559 B  , HD 128621   , HIP 71681
269.45207695818, +04.69336496646, LM    , Barnard's Star              , 269.448502525, +04.739420051, 546.9759,   0.0401, 2020yCat.1350....0G            ,   -801.550978368,      0.031820867,  10362.394206547,      0.036070455, 2020yCat.1350....0G           , -110.3530,    0.0032, 2018A&A...616A...7S, M3.5    ,  3,  8.19397,       ,  9.79179,  6.95809, 12.497, 11.240,  9.511,  8.298,  6.741,  5.244,  4.830,  4.524, 4472832130942575872, 4472832130942575872, Barnard's Star            , Barnard's Star   , GJ 699    ,             , HIP 87937
162.32917509022, -53.31962901737, BD    , Luhman 16 A                 , 162.308643669, -53.318044753, 501.5570,   0.0820, 2018A&A...618A.111L            ,  -2759.502000000,      0.147000000,    356.856000000,      0.150000000, 2018A&A...618A.111L           ,          ,          ,                    , L7.5    ,  3, 16.94500,       , 20.61962, 14.51729,       , 16.860, 16.200,       , 14.950, 10.733,  9.563,  8.841, 5353626573555863424, 5353626573555863424, Luhman 16A                , Luhman 16        ,           ,             , 
162.32829212888, -53.31981261945, BD    , Luhman 16 B                 , 162.308402229, -53.318277810, 501.5570,   0.0820, FROM:Luhman16A                 ,  -2759.502000000,      0.147000000,    356.856000000,      0.150000000, FROM:Luhman16A                ,          ,          ,                    , T0.5    ,  2, 16.96200,       , 21.05513, 14.45375,       ,       ,       ,       ,       , 11.220, 10.390,  9.730, 5353626573562355584,                    , Luhman 16B                , Luhman 16        ,           ,             , 
133.81897240895, -07.24705332403, BD    , WISEA J085510.74-071442.5   , 133.780984000, -07.243932000, 439.0000,   2.4000, 2021ApJS..253....7K            ,  -8123.700000000,      1.300000000,    673.200000000,      1.300000000, 2021ApJS..253....7K           ,          ,          ,                    , >Y4     , 20,         ,  21.91,         ,         ,       ,       ,       ,       ,       , 25.000, 23.830,       ,                    ,                    , WISEA J085510.74-071442.5 ,                  ,           ,             , 
164.12050362639, +07.01472313482, LM    , Wolf 359                    , 164.103190308, +07.002726941, 415.1794,   0.0684, 2020yCat.1350....0G            ,  -3866.338275144,      0.081306450,  -2699.214987679,      0.069108150, 2020yCat.1350....0G           ,   19.4420,    0.0320, 2020A&A...636A..36L, M6      ,  3, 11.03839,       , 13.77029,  9.58545, 16.706, 15.541, 13.507, 11.684,  9.507,  7.085,  6.482,  6.084,                    , 3864972938605115520, Wolf 359                  , CN Leo           , GJ 406    ,             , 
165.83414508186, +35.96988227313, LM    , HD 95735                    , 165.830959676, +35.948653033, 392.7529,   0.0321, 2020yCat.1350....0G            ,   -580.057087214,      0.025565954,  -4776.588719443,      0.030034095, 2020yCat.1350....0G           ,  -85.0160,    0.0230, 2020A&A...636A..36L, M1.5e   ,  3,  6.55117,       ,  7.69112,  5.47551, 10.030,  8.960,  7.520,  5.990,  4.790,  4.200,  3.640,  3.340,                    ,  762815470562110464, HD 95735                  , Lalande 21185    , GJ 411    , HD 95735    , HIP 54035
